"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brazil,"  Other other personal, cultural and recreational services",0.236575093,0.253266156,0.247820533,0.311184643,0.236688194,0.197720891,0.197686119,0.240984755,0.105469593,0.076111994
British Virgin Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
British Virgin Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
British Virgin Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
British Virgin Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,Research and Development,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Brunei Darussalam,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Bulgaria,"Advertising, market research and public opinion polling",0.209227486,0.311911314,0.437544383,0.610569753,0.912980372,0.972973322,1.021280625,1.590663318,1.646087248,..
Bulgaria,"Architectural, engineering and other technical services",..,0.341710028,0.844964685,1.868363246,1.267449272,1.898189671,2.013931453,2.010399712,0.995308569,..
Bulgaria,Research and Development,0.776431179,0.126971655,0.225207996,0.305284876,0.472599618,0.421029864,0.459261749,1.786656866,2.347046842,..
Bulgaria,"Personal, cultural and recreational services",1.249860706,1.043882808,0.886546305,1.062399082,1.213751524,0.980027682,0.789766153,0.662548856,0.750760076,0.590985715
Bulgaria,  Audiovisual and related services,..,0.258613265,0.192218762,0.256434574,0.537057269,0.363759539,0.352148488,0.51776345,0.555646962,-
Bulgaria,"  Other other personal, cultural and recreational services",1.249860706,0.785259076,0.694321695,0.818174132,0.676688238,0.616270479,0.437522413,0.144866107,0.195130069,..
Burkina Faso,"Advertising, market research and public opinion polling",..,..,..,..,0.338081796,0.245020192,0.245763045,0.590278349,..,..
Burkina Faso,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,0.074402068,..,..
Burkina Faso,Research and Development,..,..,..,..,0.066741067,0.049155285,0.051118713,0.076377344,..,..
Burkina Faso,"Personal, cultural and recreational services",-,-,-,-,-,1.947305534,0.495458299,0.237362348,-,-
Burkina Faso,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Burkina Faso,"  Other other personal, cultural and recreational services",..,..,..,..,..,1.947305534,0.495458299,0.237362348,..,..
Burundi,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Burundi,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Burundi,Research and Development,..,..,..,..,..,..,..,..,..,..
Burundi,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,0.040292975,-
Burundi,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Burundi,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Cabo Verde,"Advertising, market research and public opinion polling",0.009380817,0.007956616,0.002226998,0.000523206,0.002037286,0.001663437,..,0.002197148,0.000520275,0.000502696
Cabo Verde,"Architectural, engineering and other technical services",..,..,..,..,..,..,0.000208402,0.042744518,0.06191274,0.048258828
Cabo Verde,Research and Development,..,..,..,..,..,..,..,..,..,..
Cabo Verde,"Personal, cultural and recreational services",0.023698905,0.01675077,0.004825162,0.003662438,0.393400007,0.021125648,0.044806509,0.001797667,0.016475379,0.022956457
Cabo Verde,  Audiovisual and related services,..,..,..,0.003662438,0.000203729,0.009647934,..,..,0.004162201,0.021951064
