"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Saint Kitts and Nevis,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,Research and Development,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Lucia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Saint Lucia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saint Lucia,Research and Development,..,..,..,..,..,..,..,..,..,..
Saint Lucia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Saint Lucia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saint Lucia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,Research and Development,..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,Research and Development,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Samoa,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Samoa,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Samoa,Research and Development,..,..,..,..,..,..,..,..,..,..
Samoa,"Personal, cultural and recreational services",-,0.300483937,1.135852947,1.179231138,2.676516616,0.38313889,0.641158311,0.744187247,0.832977636,-
Samoa,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Samoa,"  Other other personal, cultural and recreational services",..,0.300483937,1.135852947,1.179231138,..,..,..,..,..,..
San Marino,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
San Marino,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
San Marino,Research and Development,..,..,..,..,..,..,..,..,..,..
San Marino,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
San Marino,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
San Marino,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,Research and Development,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Saudi Arabia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Saudi Arabia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Saudi Arabia,Research and Development,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Saudi Arabia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Senegal,"Advertising, market research and public opinion polling",0.357975724,0.821061075,0.345727257,0.3391351,0.266885393,0.191714769,0.192936112,0.174790612,..,..
Senegal,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Senegal,Research and Development,..,..,..,..,..,..,..,..,..,..
Senegal,"Personal, cultural and recreational services",0.00913831,0.014059265,0.003217864,0.049810855,0.056458127,0.036241123,0.084140495,-,-,-
Senegal,  Audiovisual and related services,0.001230157,-,0.000772287,-,-,-,0.084140495,-,-,..
Senegal,"  Other other personal, cultural and recreational services",0.007908153,0.014059265,0.002445576,0.049810855,0.056458127,0.036241123,..,..,..,..
Serbia,"Advertising, market research and public opinion polling",_,_,_,_,_,5.324832313,4.490086932,4.918421,4.616987684,..
Serbia,"Architectural, engineering and other technical services",_,_,_,_,_,2.995907378,3.179044496,2.626608395,2.235154518,..
Serbia,Research and Development,_,_,_,_,_,1.055708871,1.303534814,1.313375099,1.284721556,..
Serbia,"Personal, cultural and recreational services",_,_,_,_,_,3.598377214,4.141487861,4.396162256,3.889021909,2.889754296
Serbia,  Audiovisual and related services,_,_,_,_,_,-,-,-,-,-
Serbia,"  Other other personal, cultural and recreational services",_,_,_,_,_,3.172673243,3.614534659,3.687315007,3.312280526,..
Serbia and Montenegro,"Advertising, market research and public opinion polling",..,..,..,..,..,_,_,_,_,_
Serbia and Montenegro,"Architectural, engineering and other technical services",..,..,..,..,..,_,_,_,_,_
Serbia and Montenegro,Research and Development,..,..,..,..,..,_,_,_,_,_
Serbia and Montenegro,"Personal, cultural and recreational services",-,-,-,..,..,_,_,_,_,_
Serbia and Montenegro,  Audiovisual and related services,..,..,..,..,..,_,_,_,_,_
Serbia and Montenegro,"  Other other personal, cultural and recreational services",..,..,..,..,..,_,_,_,_,_
Seychelles,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Seychelles,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Seychelles,Research and Development,..,..,..,..,..,..,..,..,..,..
Seychelles,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Seychelles,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Seychelles,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Sierra Leone,"Advertising, market research and public opinion polling",..,0.006507345,0.021752761,0.068216033,0.269232467,0.193807918,0.099460211,0.149927535,0.042497078,..
Sierra Leone,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Sierra Leone,Research and Development,..,..,..,..,..,..,..,..,..,..
Sierra Leone,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Sierra Leone,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Sierra Leone,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Singapore,"Advertising, market research and public opinion polling",0.606765874,0.667448479,0.598312364,0.610212793,0.524870373,0.314334519,0.918354669,0.834727857,1.207836369,..
Singapore,"Architectural, engineering and other technical services",1.462924258,1.441681281,1.662915318,2.21228335,1.952405041,2.694634566,3.373901582,2.090241119,2.227622219,..
Singapore,Research and Development,0.310944917,0.240199676,0.308162114,0.274338725,0.292904088,0.394235542,0.49317056,0.445116256,0.499175199,0.486784272
Singapore,"Personal, cultural and recreational services",0.406224951,0.382289805,0.323263658,0.306720794,0.279093356,0.205449943,0.588720339,0.535756759,0.463248198,0.451779017
Singapore,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Singapore,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,..,..
Sint Maarten (Dutch part),"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,..,..
Sint Maarten (Dutch part),Research and Development,_,_,_,_,_,_,_,_,..,..
Sint Maarten (Dutch part),"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,-,-
Sint Maarten (Dutch part),  Audiovisual and related services,_,_,_,_,_,_,_,_,..,..
Sint Maarten (Dutch part),"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,..,..
Slovakia,"Advertising, market research and public opinion polling",..,..,0.490070749,0.853480509,1.002361675,0.924304194,0.937653851,1.198632961,1.509685976,..
Slovakia,"Architectural, engineering and other technical services",..,..,1.260275921,1.825223695,1.080807371,2.015795804,0.640497767,1.075810734,1.179116048,..
Slovakia,Research and Development,..,..,0.400088314,0.394073355,0.549062906,0.515787947,0.511672108,1.034869992,2.170825832,..
Slovakia,"Personal, cultural and recreational services",2.318846149,3.299819725,2.809505065,2.849274593,4.574114829,1.481834869,1.270777077,1.199545558,1.285144281,0.9165038
Slovakia,  Audiovisual and related services,0.240001405,0.131005489,0.112651247,0.097119874,0.1176551,0.109040578,0.102574136,0.127369259,0.290671357,-
Slovakia,"  Other other personal, cultural and recreational services",2.078845231,3.168812572,2.696886558,2.752172374,4.456464686,1.372791821,1.168200554,1.072170031,0.994466427,..
Slovenia,"Advertising, market research and public opinion polling",3.534176043,5.26117829,4.786005496,4.53118369,4.106800018,3.761162269,4.095851223,4.029556321,3.87727832,..
Slovenia,"Architectural, engineering and other technical services",1.794360782,1.901405554,1.873741389,1.536402628,1.167690809,1.189945708,1.430881037,1.13344204,1.316135847,..
Slovenia,Research and Development,0.683148511,0.767383537,0.744079787,1.005833641,1.366230678,1.51098795,0.748021134,0.56304882,0.556249827,..
Slovenia,"Personal, cultural and recreational services",0.746664686,0.869309497,0.71563249,0.84777836,0.663897846,0.58069155,0.814716048,0.869676551,1.045019473,1.284912568
Slovenia,  Audiovisual and related services,0.229590074,0.307098491,0.269953103,0.331906086,0.310864382,0.177262037,0.162064445,0.166443918,0.224642711,-
Slovenia,"  Other other personal, cultural and recreational services",0.517068539,0.562223359,0.445681915,0.515905974,0.35303223,0.403406677,0.65265556,0.703230343,0.820371871,..
Socialist Federative Republic of Yugoslavia,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
Socialist Federative Republic of Yugoslavia,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
Socialist Federative Republic of Yugoslavia,Research and Development,_,_,_,_,_,_,_,_,_,_
Socialist Federative Republic of Yugoslavia,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Socialist Federative Republic of Yugoslavia,  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
Socialist Federative Republic of Yugoslavia,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Solomon Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Solomon Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Solomon Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Solomon Islands,"Personal, cultural and recreational services",2.541668316,2.35721939,3.461761298,-,-,-,-,0.183096872,10.08883203,14.85167526
Solomon Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Solomon Islands,"  Other other personal, cultural and recreational services",2.541668316,2.35721939,3.461761298,..,..,..,..,..,..,..
Somalia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Somalia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Somalia,Research and Development,..,..,..,..,..,..,..,..,..,..
Somalia,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Somalia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Somalia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
South Africa,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
South Africa,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
South Africa,Research and Development,..,..,..,..,..,..,..,..,..,..
South Africa,"Personal, cultural and recreational services",0.712403463,0.889985536,1.007256573,0.846156365,0.653259422,0.773087916,0.605612126,0.477273539,0.448321921,0.388590561
South Africa,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
South Africa,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,0.388590561
South Sudan,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,..
South Sudan,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,..
South Sudan,Research and Development,_,_,_,_,_,_,_,_,_,..
South Sudan,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,..
South Sudan,  Audiovisual and related services,_,_,_,_,_,_,_,_,_,..
South Sudan,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,..
Spain,"Advertising, market research and public opinion polling",..,..,..,..,2.51323623,2.04811029,1.791468572,1.842974195,1.958521046,..
Spain,"Architectural, engineering and other technical services",..,..,..,..,2.871197638,3.279023978,4.043761079,2.872057014,2.887888719,..
Spain,Research and Development,..,..,..,..,0.914196448,0.849965365,0.779683386,0.896984934,0.906867245,..
Spain,"Personal, cultural and recreational services",1.093029274,1.119747675,1.13567878,1.163270844,1.248579941,1.226817954,1.349798319,1.426440822,1.52905498,1.669183294
Spain,  Audiovisual and related services,0.414072371,0.491136904,0.486307658,0.516747089,0.561593038,0.524316187,0.616310251,0.580590178,0.6681667,0.771488778
Spain,"  Other other personal, cultural and recreational services",0.678957324,..,..,0.647703278,0.686986557,0.703525562,0.734614729,0.845850684,0.860888202,..
Sri Lanka,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Sri Lanka,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Sri Lanka,Research and Development,..,..,..,..,..,..,..,..,..,..
Sri Lanka,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Sri Lanka,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Sri Lanka,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
State of Palestine,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
State of Palestine,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
State of Palestine,Research and Development,..,..,..,..,..,..,..,..,..,..
State of Palestine,"Personal, cultural and recreational services",1.048022119,0.553727363,1.747652566,0.373956903,0.244146705,0.226365196,0.46247225,0.664220678,-,-
State of Palestine,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
State of Palestine,"  Other other personal, cultural and recreational services",1.048022119,0.553727363,1.747652566,0.373956903,0.244146705,0.226365196,0.46247225,0.664220678,..,..
Sudan,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,..
Sudan,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,..
Sudan,Research and Development,_,_,_,_,_,_,_,_,_,..
Sudan,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,..
Sudan,  Audiovisual and related services,_,_,_,_,_,_,_,_,_,..
Sudan,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,..
Sudan (…2011),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,_
Sudan (…2011),"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,_
Sudan (…2011),Research and Development,..,..,..,..,..,..,..,..,..,_
Sudan (…2011),"Personal, cultural and recreational services",0.849780702,-,-,0.097118809,1.172423842,0.044639234,0.201263701,0.652066978,0.0673844,_
Sudan (…2011),  Audiovisual and related services,..,..,..,..,..,..,..,..,..,_
Sudan (…2011),"  Other other personal, cultural and recreational services",0.849780702,..,..,0.097118809,1.172423842,0.044639234,0.201263701,0.652066978,0.0673844,_
Suriname,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Suriname,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Suriname,Research and Development,..,..,..,..,..,..,..,..,..,..
Suriname,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Suriname,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Suriname,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Swaziland,"Advertising, market research and public opinion polling",0.021484585,0.071705551,0.117149895,0.022239088,0.037829219,6.392336319,5.502339719,0.074183112,..,..
Swaziland,"Architectural, engineering and other technical services",0.083985195,7.378861684,0.332691545,0.82531726,0.643536592,10.49616282,12.52299724,7.480065716,..,..
Swaziland,Research and Development,0.687995,1.227006153,0.233591936,0.134846533,0.087095178,14.54523602,2.320721513,2.721471544,..,..
Swaziland,"Personal, cultural and recreational services",0.013183723,0.006810024,0.025482757,0.06318725,0.061582449,0.339648511,2.913150422,0.642014052,-,-
Swaziland,  Audiovisual and related services,0.002929716,..,0,0.000353001,0,0.004006339,2.877154741,0.588804176,-,..
Swaziland,"  Other other personal, cultural and recreational services",0.010742292,0.006810024,0.02512883,0.062834248,0.061582449,0.335642172,0.036495621,0.053209876,..,..
Sweden,"Advertising, market research and public opinion polling",1.828416636,1.516179575,1.663553099,1.521567031,1.482239646,1.416836102,1.661668275,1.974636879,2.097120772,..
Sweden,"Architectural, engineering and other technical services",2.887504304,3.183803611,3.022749369,2.839270268,3.266287961,2.85473502,2.947878098,2.82392776,3.093213534,..
Sweden,Research and Development,7.096050968,5.411030115,5.27045672,5.515784169,4.899431139,5.099092047,5.602676081,4.778316265,4.376853744,..
Sweden,"Personal, cultural and recreational services",0.670193218,0.453630087,0.516383179,0.559295556,0.526506205,0.731544231,0.632525006,0.645513202,0.832486329,0.764745633
Sweden,  Audiovisual and related services,0.469094439,0.327719239,0.357830788,0.312645785,0.340010429,0.316372737,0.264038518,0.284766243,0.306346761,-
Sweden,"  Other other personal, cultural and recreational services",0.20110002,0.125911133,0.158552337,0.246650762,0.186257993,0.415388441,0.368484332,0.360965218,0.526139689,..
Switzerland,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Switzerland,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Switzerland,Research and Development,..,..,..,..,..,..,..,..,..,..
Switzerland,"Personal, cultural and recreational services",0.010303873,0.009436497,0.009833222,0.004945463,0.003581705,0.004999364,0.002001396,0.003295902,0.005617175,-
Switzerland,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Switzerland,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,Research and Development,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Personal, cultural and recreational services",-,2.372660824,2.920962199,3.146374829,0.776930348,0.905936603,0.897003597,0.70926928,-,-
Syrian Arab Republic,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"  Other other personal, cultural and recreational services",..,2.372660824,2.920962199,3.146374829,0.776930348,0.905936603,0.897003597,0.70926928,..,..
Tajikistan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Tajikistan,"Architectural, engineering and other technical services",0.063257537,0.848609111,1.012696287,0.569235927,2.537459984,0.620696878,0.463426575,0.146518171,0.197351172,..
Tajikistan,Research and Development,..,..,..,..,..,..,..,..,..,..
Tajikistan,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Tajikistan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Tajikistan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
TFYR of Macedonia,"Advertising, market research and public opinion polling",2.835556634,2.969125177,2.960841175,3.283463746,3.229342467,3.404437708,3.611016725,3.321375354,2.882932253,..
TFYR of Macedonia,"Architectural, engineering and other technical services",3.490098503,4.349352812,3.387618673,3.826185026,4.72105117,5.574804854,4.595458098,5.31448891,4.28783606,..
TFYR of Macedonia,Research and Development,1.443105209,1.229251423,1.095665445,0.551045226,0.601041337,0.589549209,0.668762908,0.55472702,0.562229378,..
TFYR of Macedonia,"Personal, cultural and recreational services",1.133591064,1.536688507,1.37377132,1.66155252,2.007265682,1.786023938,2.292894589,2.330667054,2.44238433,2.011948599
TFYR of Macedonia,  Audiovisual and related services,0.479024132,0.718950717,0.52984889,0.824514156,0.877237092,0.736951655,1.169117122,0.73530486,0.755798784,0.499003216
TFYR of Macedonia,"  Other other personal, cultural and recreational services",0.654541869,0.817658876,0.84391684,0.834891786,1.129982196,1.049092737,1.123810678,1.595311512,1.68659885,..
Thailand,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Thailand,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Thailand,Research and Development,..,..,..,..,..,..,..,..,..,..
Thailand,"Personal, cultural and recreational services",-,-,0.292926195,0.299196509,0.280617944,0.368967333,0.261582998,0.353072271,0.221424448,0.166624391
Thailand,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Thailand,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Timor-Leste,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Timor-Leste,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Timor-Leste,Research and Development,..,..,..,..,..,..,..,..,..,..
Timor-Leste,"Personal, cultural and recreational services",..,..,..,-,-,-,-,-,-,-
Timor-Leste,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Timor-Leste,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Togo,"Advertising, market research and public opinion polling",0.068567571,0.020003467,0.015826988,0.014447915,0.029235182,0.064645351,0.043263351,0.038411212,..,..
Togo,"Architectural, engineering and other technical services",..,..,..,..,0.035166958,..,..,0.004996581,..,..
Togo,Research and Development,..,..,0.024870982,0.021920975,0.020337518,0.007771572,..,0.035912922,..,..
Togo,"Personal, cultural and recreational services",-,-,-,-,-,0.009537839,-,0.00249829,-,-
Togo,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Togo,"  Other other personal, cultural and recreational services",..,..,..,..,..,0.009537839,..,0.00249829,..,..
Tokelau,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Tokelau,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Tokelau,Research and Development,..,..,..,..,..,..,..,..,..,..
Tokelau,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Tokelau,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Tokelau,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Tonga,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Tonga,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Tonga,Research and Development,..,..,..,..,..,..,..,..,..,..
Tonga,"Personal, cultural and recreational services",3.440817932,0.368689733,2.975803947,2.097606035,2.141824545,2.307072073,2.353376398,-,-,-
Tonga,  Audiovisual and related services,..,0.137752208,0.177870634,0.100069279,0.25869284,0.512393685,0.643123417,-,-,-
Tonga,"  Other other personal, cultural and recreational services",3.440817932,0.230937525,2.797933313,1.997536756,1.883131705,1.794678388,1.707407302,..,..,..
Trinidad and Tobago,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,Research and Development,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,0,-
Trinidad and Tobago,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Tunisia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Tunisia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Tunisia,Research and Development,..,..,..,..,..,..,..,..,..,..
Tunisia,"Personal, cultural and recreational services",0.184994756,0.287614765,0.092007759,0.061234563,0.069782139,0.097163259,0.12121135,0.167278177,0.188766065,-
Tunisia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Tunisia,"  Other other personal, cultural and recreational services",0.184994756,0.287614765,0.092007759,0.061234563,0.069782139,0.097163259,0.12121135,0.167278177,0.188766065,..
Turkey,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Turkey,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Turkey,Research and Development,..,..,..,..,..,..,..,..,..,..
Turkey,"Personal, cultural and recreational services",4.33744136,6.17595822,4.030633021,3.89843687,3.345163595,3.473029352,2.283720743,2.605414814,3.250217556,2.850233698
Turkey,  Audiovisual and related services,0,-,-,-,0,0,0,0,0,0
Turkey,"  Other other personal, cultural and recreational services",4.337442971,6.175958325,4.030631284,3.898437464,3.345164904,3.473030033,2.28372079,2.605413651,3.250218089,..
Turkmenistan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Turkmenistan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Turkmenistan,Research and Development,..,..,..,..,..,..,..,..,..,..
Turkmenistan,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Turkmenistan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Turkmenistan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Tuvalu,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Tuvalu,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Tuvalu,Research and Development,..,..,..,..,..,..,..,..,..,..
Tuvalu,"Personal, cultural and recreational services",0.185651296,0.467959899,0.274467719,0.103565853,0.079340926,0.063737785,-,-,-,-
Tuvalu,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Tuvalu,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Uganda,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Uganda,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Uganda,Research and Development,..,..,..,..,..,..,..,..,..,..
Uganda,"Personal, cultural and recreational services",0,0,0,0,0,0,0,0,0.264217143,0.432076475
Uganda,  Audiovisual and related services,0,0,0,0,0,0,0,0,0.245099606,0.010933566
Uganda,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,0.019117537,0.421142909
Ukraine,"Advertising, market research and public opinion polling",0.268507863,0.572591933,0.673508659,1.284322409,2.047877975,2.682313495,..,..,..,..
Ukraine,"Architectural, engineering and other technical services",1.687763713,1.412393434,1.892238615,1.67404783,1.518254361,1.732327466,..,..,..,..
Ukraine,Research and Development,1.764480246,1.628705942,2.159503956,2.019486271,2.139679401,2.352612462,..,..,..,..
Ukraine,"Personal, cultural and recreational services",0.076716532,0.139966917,0.171049818,0.655447299,1.115740414,1.033808326,0.622498888,0.683274882,0.494523025,0.613908378
