country_iso,year,foreign_investment
ESP,1974,0.36803254799999996
EUU,1974,0.7780190220000001
FCS,1974,0.486334951
FIN,1974,0.140851751
FJI,1974,2.560017778
FRA,1974,0.646692012
GAB,1974,5.154719275
GBR,1974,2.121823274
GHA,1974,0.49301931299999996
GMB,1974,1.252641855
GRC,1974,0.26428619
GTM,1974,1.49928836
GUY,1974,0.31339687899999996
HIC,1974,0.466210964
HKG,1974,1.6343585059999999
HND,1974,-0.111164814
HPC,1974,0.706974931
HTI,1974,1.404314364
IBD,1974,0.668550279
IBT,1974,0.666008334
IDA,1974,0.6495813
IDB,1974,1.03970033
IDN,1974,0.705825551
IDX,1974,0.35266942799999995
IND,1974,0.057241382
IRL,1974,0.647583439
IRN,1974,0.700078676
IRQ,1974,-0.076670852
ISL,1974,0.869870226
ISR,1974,0.5140443929999999
ITA,1974,0.298324847
JAM,1974,1.284158485
JOR,1974,0.570406255
JPN,1974,0.042116149000000005
KEN,1974,0.7876745359999999
KHM,1974,0.22941864399999998
KOR,1974,0.010265866
KWT,1974,0.000922738
LAC,1974,0.543139047
LCN,1974,0.583519962
LDC,1974,0.328288656
LIC,1974,0.34922566200000005
LKA,1974,0.03916537
LMC,1974,0.42316341399999996
LMY,1974,0.669285115
MAR,1974,-0.2657839
MDG,1974,0.7149799379999999
MEA,1974,-1.694794966
MEX,1974,0.706605556
MIC,1974,0.6811900559999999
MLI,1974,-0.027842369
MLT,1974,2.828027313
MNA,1974,0.703110363
MRT,1974,0.872767883
MWI,1974,4.137646804
MYS,1974,6.01110783
NAC,1974,0.42585121200000003
NER,1974,0.6732903659999999
NGA,1974,1.034345032
NIC,1974,0.9073574590000001
NLD,1974,1.2644100109999998
NOR,1974,1.274603635
NPL,1974,0.020526233999999997
NZL,1974,1.804822671
OED,1974,0.5514131879999999
OMN,1974,-3.711521559
OSS,1974,1.640220171
PAK,1974,0.045594279
PER,1974,0.45006504700000005
PHL,1974,0.9486878459999999
PNG,1974,4.953841632
PRE,1974,0.671851463
PRT,1974,0.605285802
PRY,1974,1.7740109830000002
PSS,1974,2.215728959
PST,1974,0.564737986
QAT,1974,0.5401008820000001
RWA,1974,0.713224161
SAS,1974,0.051606665
SAU,1974,-8.218787219
SDN,1974,-0.025244831000000002
SEN,1974,0.488801775
SGP,1974,6.515152317999999
SLB,1974,-0.059144068
SLE,1974,1.61889477
SLV,1974,1.206569501
SOM,1974,0.14970782400000002
SSA,1974,1.221604302
SSF,1974,1.2226960359999999
SST,1974,3.072206048
SUR,1974,1.817738197
SWE,1974,0.116974439
SWZ,1974,1.336348122
SYC,1974,4.0107108060000005
SYR,1974,0.000193815
TCD,1974,2.114836232
TEC,1974,0.179775716
TGO,1974,-7.909563779
THA,1974,1.374068738
TLA,1974,0.543433692
TMN,1974,0.703110363
TSA,1974,0.051606665
TSS,1974,1.2226960359999999
TTO,1974,5.883992308
TUN,1974,0.7896369040000001
TUR,1974,0.179775716
UGA,1974,0.080946882
UMC,1974,0.806626457
URY,1974,-0.00195589
USA,1974,0.229090182
VEN,1974,-1.647450862
WLD,1974,0.498333898
ZAF,1974,1.891243513
ZMB,1974,1.217233463
ZWE,1974,0.8374848890000001
ARB,1975,1.390372164
ARE,1975,0.108351028
ARG,1975,0.10600959800000001
AUS,1975,0.46210365
AUT,1975,0.197482692
BDI,1975,0.076011909
BEL,1975,1.453450559
BEN,1975,0.279190961
BFA,1975,0.03191582
BGD,1975,0.00793555
BHS,1975,2.948674941
BOL,1975,2.5615278480000003
BRA,1975,1.052466706
BRB,1975,5.702357023999999
BRN,1975,0.072755017
BWA,1975,-10.77468316
CAF,1975,1.478899213
CAN,1975,1.9479404619999998
CHL,1975,0.655977095
CIV,1975,1.773570932
CMR,1975,0.9844625490000001
COD,1975,0.08908561400000001
COG,1975,2.007553933
COL,1975,0.282997832
CRI,1975,3.5199804169999998
CSS,1975,2.710526565
CYP,1975,3.694520242
DEU,1975,0.140734902
DNK,1975,0.659532876
DOM,1975,1.775394532
DZA,1975,0.764883036
EAR,1975,0.94006395
EAS,1975,0.446389424
ECA,1975,0.255412349
ECS,1975,0.532122178
ECU,1975,1.232591543
EGY,1975,0.068774733
EMU,1975,0.41992238200000004
ESP,1975,0.594748983
EUU,1975,0.535210643
FCS,1975,0.259271148
FIN,1975,0.231639047
FJI,1975,2.060595295
FRA,1975,0.433400884
GAB,1975,7.7354721170000005
GBR,1975,1.372676187
GHA,1975,2.521966977
GMB,1975,0.086818727
GNB,1975,-0.11928166
GRC,1975,0.084134149
GTM,1975,2.194245591
GUY,1975,0.161684211
HIC,1975,0.432747899
HKG,1975,3.755561085
HND,1975,0.622775801
HPC,1975,0.633124836
HTI,1975,0.387437628
IBD,1975,0.8158967509999999
IBT,1975,0.7937718770000001
IDA,1975,0.664711689
IDB,1975,1.138434671
IDN,1975,4.2412885110000005
IDX,1975,0.321046259
IND,1975,-0.010486395
IRL,1975,1.6657950209999999
IRN,1975,0.95487847
IRQ,1975,-0.33376634899999996
ISL,1975,3.009248079
ISR,1975,0.292965551
ITA,1975,0.283059865
JAM,1975,2.14654446
JOR,1975,1.8812144309999999
JPN,1975,0.043333047
KEN,1975,0.526447731
KOR,1975,0.027643716000000002
KWT,1975,0.002079151
LAC,1975,0.808832717
LCN,1975,0.832869557
LDC,1975,0.131430846
LIC,1975,0.40152109399999997
LKA,1975,0.003764173
LMC,1975,0.8398937409999999
LMY,1975,0.786381718
LSO,1975,0.0
MAR,1975,0.055871989000000004
MDG,1975,0.200292248
MEA,1975,1.303381492
MEX,1975,0.520921591
MIC,1975,0.801175731
MLI,1975,0.31455019100000003
MLT,1975,3.3401590430000003
MNA,1975,0.572536984
MRT,1975,-25.78236273
MWI,1975,3.60555371
MYS,1975,3.7692086380000003
NAC,1975,0.306454342
NER,1975,2.150853444
NGA,1975,1.692361519
NIC,1975,0.685349882
NLD,1975,1.2293099440000002
NOR,1975,0.66816294
NZL,1975,1.0742511240000001
OED,1975,0.380484379
OMN,1975,5.0676615819999995
OSS,1975,2.522022995
PAK,1975,0.22045854899999998
PER,1975,0.480560602
PHL,1975,0.765410468
PNG,1975,-0.16438261099999998
PRE,1975,0.708543888
PRT,1975,0.596204382
PRY,1975,1.614375207
PSS,1975,2.774196688
PST,1975,0.38980879399999996
PYF,1975,0.004345812
QAT,1975,0.36294404399999997
RWA,1975,0.524600901
SAS,1975,0.012295751
SAU,1975,3.987100645
SDN,1975,0.023222579
SEN,1975,0.796256115
SGP,1975,5.179977656
SLB,1975,10.52677513
SLE,1975,1.486746098
SLV,1975,0.695284764
SOM,1975,1.65857723
