country_iso,year,electrification
RUS,1996,100.0
RWA,1996,0.41332736600000003
SAS,1996,49.07416865
SDN,1996,29.32952309
SEN,1996,30.55493927
SGP,1996,100.0
SLV,1996,77.883
SMR,1996,100.0
SRB,1996,100.0
SSA,1996,27.63724355
SSF,1996,27.64930372
SVK,1996,100.0
SVN,1996,100.0
SWE,1996,100.0
SYC,1996,92.36306
TCA,1996,92.71018982
TEA,1996,90.48411364
TEC,1996,99.91176933
TLA,1996,89.01310622
TON,1996,82.47261809999999
TSA,1996,49.07416865
TSS,1996,27.64930372
TUN,1996,90.4
TZA,1996,9.4
UGA,1996,5.310029507
UKR,1996,100.0
UMC,1996,94.00572109999999
URY,1996,97.81993866
USA,1996,100.0
UZB,1996,99.6
VCT,1996,74.4261322
VEN,1996,98.46422577
VIR,1996,100.0
VUT,1996,16.26244545
WLD,1996,77.78312340000001
WSM,1996,84.00893402
XKX,1996,100.0
YEM,1996,43.97032166
ZAF,1996,57.6
ZMB,1996,17.3
ZWE,1996,32.32712936
ABW,1997,100.0
ALB,1997,100.0
AND,1997,100.0
ARE,1997,100.0
AUS,1997,100.0
AUT,1997,100.0
BEL,1997,100.0
BEN,1997,16.75588226
BFA,1997,7.21470499
BGD,1997,22.4
BGR,1997,100.0
BHS,1997,100.0
BIH,1997,100.0
BLR,1997,100.0
BLZ,1997,75.86277771
BMU,1997,100.0
BOL,1997,67.330431
BRA,1997,93.354139
BRN,1997,100.0
BWA,1997,20.96166611
CAF,1997,3.816239595
CAN,1997,100.0
CEB,1997,100.0
CHE,1997,100.0
CHL,1997,96.12882233
CHN,1997,95.5942688
CIV,1997,44.45660019
CMR,1997,38.37972641
COL,1997,92.8640976
COM,1997,32.61035538
CUW,1997,100.0
CYM,1997,100.0
CYP,1997,100.0
CZE,1997,100.0
DEU,1997,100.0
DJI,1997,56.32712936
DNK,1997,100.0
DOM,1997,85.90914154
EAP,1997,91.1893762
EAR,1997,60.93103808
EAS,1997,92.19697927
ECA,1997,99.88693323
ECS,1997,99.955224
ECU,1997,92.241745
EGY,1997,96.19646454
EMU,1997,100.0
ERI,1997,25.83138466
ESP,1997,100.0
EST,1997,100.0
EUU,1997,100.0
FIN,1997,100.0
FJI,1997,71.80413818
FRA,1997,100.0
FRO,1997,100.0
GBR,1997,100.0
GHA,1997,38.30726624
GIB,1997,100.0
GMB,1997,23.45113945
GRC,1997,100.0
GRL,1997,100.0
GTM,1997,68.91145325
GUM,1997,100.0
GUY,1997,72.63006592
HIC,1997,99.87364119
HKG,1997,100.0
HND,1997,64.794754
HRV,1997,100.0
HTI,1997,30.62786102
HUN,1997,100.0
IBD,1997,81.19964144
IBT,1997,73.21043038
IDN,1997,80.3
IMN,1997,100.0
IND,1997,54.57716751
IRL,1997,100.0
ISL,1997,100.0
ISR,1997,100.0
ITA,1997,100.0
JAM,1997,81.88469696
JOR,1997,98.9
JPN,1997,100.0
KAZ,1997,98.74758911
KEN,1997,8.794535637000001
KGZ,1997,99.8
KOR,1997,100.0
KWT,1997,100.0
LAC,1997,89.24011684
LAO,1997,34.58991241
LCN,1997,89.47929677
LIE,1997,100.0
LMC,1997,57.89146807
LMY,1997,72.83247588
LTE,1997,94.70373253
LTU,1997,100.0
LUX,1997,100.0
LVA,1997,100.0
MAC,1997,100.0
MAR,1997,63.35385513
MCO,1997,100.0
MDA,1997,100.0
MDG,1997,10.9
MEX,1997,96.24401855
MIC,1997,75.98262426
MKD,1997,100.0
MLI,1997,5.627359867000001
MLT,1997,100.0
MNE,1997,100.0
MNP,1997,100.0
MOZ,1997,6.6
MWI,1997,3.686836004
NAC,1997,100.0
NAM,1997,31.97467041
NCL,1997,100.0
NER,1997,6.2358212470000005
NGA,1997,39.93887329
NIC,1997,71.02713776
NLD,1997,100.0
NOR,1997,100.0
NPL,1997,15.56461334
NZL,1997,100.0
OED,1997,99.61549123
PAN,1997,78.04171753
PER,1997,69.16024
PHL,1997,71.43549347
PNG,1997,5.88039732
POL,1997,100.0
PRE,1997,22.96984092
PRT,1997,100.0
PRY,1997,86.41285400000001
PSE,1997,97.9
PST,1997,100.0
PYF,1997,100.0
QAT,1997,100.0
ROU,1997,100.0
RUS,1997,100.0
RWA,1997,1.071726441
SAS,1997,50.42595378
SDN,1997,29.83494568
SEN,1997,32.2
SGP,1997,100.0
SLV,1997,79.80488586
SMR,1997,100.0
SRB,1997,100.0
SSA,1997,27.95628317
SSF,1997,27.96741962
SVK,1997,100.0
SVN,1997,100.0
SWE,1997,100.0
SYC,1997,92.0
TCA,1997,93.11392975
TCD,1997,2.3
